Player,Yrs,G,Date,City,State
Michael Ansley\anslemi01,3,149,Feb 8 1967,Birmingham,Alabama
Keith Askins\askinke01,9,486,Dec 15 1967,Athens,Alabama
Carl Bailey\baileca01,1,1,Apr 23 1958,Birmingham,Alabama
Charles Barkley*\barklch01,16,1073,Feb 20 1963,Leeds,Alabama
Eric Bledsoe\bledser01,7,374,Dec 9 1989,Birmingham,Alabama
Tom Boswell\bosweto01,6,366,Oct 2 1953,Montgomery,Alabama
David Bustion\bustida01,1,47,Aug 30 1949,Gadsden,Alabama
Jason Caffey\caffeja01,8,462,Jun 12 1973,Mobile,Alabama
DeMarre Carroll\carrode01,8,360,Jul 27 1986,Birmingham,Alabama
Bobby Cattage\cattabo01,2,78,Aug 17 1958,Huntsville,Alabama
Derrick Coleman\colemde01,15,781,Jun 21 1967,Mobile,Alabama
DeMarcus Cousins\couside01,7,436,Aug 13 1990,Mobile,Alabama
Michael Curry\currymi01,11,667,Aug 22 1968,Anniston,Alabama
Fennis Dembo\dembofe01,1,31,Jan 24 1966,Mobile,Alabama
John Douglas\dougljo01,2,67,Jun 12 1956,Town Creek,Alabama
Leon Douglas\douglle01,7,456,Aug 26 1954,Leighton,Alabama
John Drew\drewjo01,11,739,Sep 30 1954,Vredenburgh,Alabama
T.R. Dunn\dunntr01,14,993,Feb 1 1955,Birmingham,Alabama
Jim Farmer\farmeji01,5,136,Sep 23 1964,Dothan,Alabama
Rod Foster\fostero01,3,207,Oct 10 1960,Birmingham,Alabama
Mickell Gladness\gladnmi01,1,26,Jul 26 1986,Birmingham,Alabama
Orlando Graham\grahaor01,1,7,May 5 1965,Montgomery,Alabama
Travis Grant\granttr01,4,201,Jan 1 1950,Clayton,Alabama
JaMychal Green\greenja01,3,126,Jun 21 1990,Montgomery,Alabama
Lamar Green\greenla01,6,411,Mar 22 1947,Birmingham,Alabama
Darrin Hancock\hancoda01,3,133,Nov 3 1971,Birmingham,Alabama
James Hardy\hardyja01,4,249,Dec 1 1956,Knoxville,Alabama
Johnny High\highjo01,4,274,Apr 25 1957,Birmingham,Alabama
Cedrick Hordges\hordgce01,2,145,Jan 8 1957,Montgomery,Alabama
Robert Horry\horryro01,16,1107,Aug 25 1970,Andalusia,Alabama
Elvin Ivory\ivoryel01,1,20,Jul 2 1948,Birmingham,Alabama
Stanley Jackson\jacksst01,1,17,Oct 10 1970,Tuskegee,Alabama
Henry James\jameshe01,7,212,Jul 29 1965,Centreville,Alabama
Buck Johnson\johnsbu01,7,505,Jan 3 1964,Birmingham,Alabama
Ken Johnson\johnske01,1,64,Nov 7 1962,Tuskegee,Alabama
Nate Johnston\johnsna01,1,21,Dec 18 1966,Birmingham,Alabama
Edgar Jones\jonesed01,6,363,Jun 17 1956,Fort Rucker,Alabama
Walter Jordan\jordawa01,1,30,Feb 19 1956,Perry,Alabama
Larry Kenon\kenonla01,10,752,Dec 13 1952,Birmingham,Alabama
Warren Kidd\kiddwa01,1,68,Sep 9 1970,Harpersville,Alabama
Stan Kimbrough\kimbrst01,2,13,Apr 24 1966,Tuscaloosa,Alabama
Reggie King\kingre01,6,438,Feb 14 1957,Birmingham,Alabama
Antonio Lang\langan02,6,143,May 15 1972,Mobile,Alabama
James Lang\langja01,1,11,Oct 17 1983,Mobile,Alabama
Jeff Malone\malonje01,13,905,Jun 28 1961,Mobile,Alabama
Keith McCord\mccorke01,1,2,Jun 22 1957,Birmingham,Alabama
K.J. McDaniels\mcdankj01,3,113,Feb 9 1993,Mobile,Alabama
Thales McReynolds\mcreyth01,1,5,Jun 8 1943,Birmingham,Alabama
Joe Meriweather\meriwjo01,10,670,Oct 26 1953,Phenix City,Alabama
Larry Moffett\moffela01,1,20,Nov 5 1954,Mobile,Alabama
Jamario Moon\moonja01,5,286,Jun 13 1980,Goodwater,Alabama
Allen Murphy\murphal01,2,31,Jul 15 1952,Birmingham,Alabama
Pete Myers\myerspe01,9,377,Sep 15 1963,Mobile,Alabama
Wiley Peck\peckwi01,1,52,Sep 15 1957,Montgomery,Alabama
Chuck Person\persoch01,13,943,Jun 27 1964,Brantley,Alabama
Wesley Person\persowe01,11,733,Mar 28 1971,Crenshaw,Alabama
Eddie Phillips\philled01,1,48,Sep 29 1961,Birmingham,Alabama
Stan Pietkiewicz\pietkst01,3,96,Jul 14 1956,Huntsville,Alabama
Chris Porter\portech01,1,51,May 9 1978,Abbeville,Alabama
Cal Ramsey\ramseca01,2,13,Jul 13 1937,Selma,Alabama
Theo Ratliff\ratlith01,16,810,Apr 17 1973,Demopolis,Alabama
Oliver Robinson\robinol01,1,35,Mar 13 1960,Birmingham,Alabama
Roy Rogers\rogerro02,3,137,Aug 19 1973,Linden,Alabama
Curtis Rowe\rowecu01,8,590,Jul 2 1949,Bessemer,Alabama
Willie Scott\scottwi01,1,8,May 22 1947,Gadsden,Alabama
Walter Sharpe\sharpwa01,1,8,Jul 18 1986,Huntsville,Alabama
Johnny Simmons\simmojo01,1,60,Jul 7 1924,Birmingham,Alabama
Doug Sims\simsdo01,1,4,Jun 29 1943,Elba,Alabama
Bud Stallworth\stallbu01,5,313,Jan 18 1950,Hartselle,Alabama
Erick Strickland\stricer01,9,501,Nov 25 1973,Opelika,Alabama
Andrew Toney\toneyan01,8,468,Nov 23 1957,Birmingham,Alabama
Ben Wallace\wallabe01,16,1088,Sep 10 1974,White Hall,Alabama
Gerald Wallace\wallage01,14,832,Jul 23 1982,Sylacauga,Alabama
Marcus Webb\webbma01,1,9,May 9 1970,Montgomery,Alabama
Mario West\westma02,4,162,Jun 19 1984,Huntsville,Alabama
Ennis Whatley\whatlen01,10,385,Aug 11 1962,Birmingham,Alabama
D.J. White\whitedj01,6,138,Aug 31 1986,Tuscaloosa,Alabama
Rory White\whitero01,5,324,Aug 16 1959,Tuskegee,Alabama
D.C. Wilcutt\wilcudc01,2,59,Mar 25 1923,Patton,Alabama
Duck Williams\willidu01,1,77,Aug 2 1956,Demopolis,Alabama
Mario Chalmers\chalmma01,8,580,May 19 1986,Anchorage,Alaska
Mark Alarie\alarima01,5,325,Dec 11 1963,Phoenix,Arizona
Jerryd Bayless\bayleje01,9,513,Aug 20 1988,Phoenix,Arizona
Steve Colter\coltest01,8,526,Jul 24 1962,Phoenix,Arizona
Bryce Cotton\cottobr01,2,23,Aug 11 1992,Tucson,Arizona
Ron Davis\davisro01,3,78,May 1 1954,Phoenix,Arizona
Sean Elliott\elliose01,12,742,Feb 2 1968,Tucson,Arizona
Carrick Felix\felixca01,1,7,Aug 17 1990,Las Vegas,Arizona
Nick Johnson\johnsni01,1,28,Dec 22 1992,Tempe,Arizona
Perry Moss\mosspe01,2,136,Nov 11 1958,Tucson,Arizona
Larry Owens\owensla01,2,19,Jan 8 1983,Mesa,Arizona
Wayne See\seewa01,1,61,Nov 3 1923,Clemenceau,Arizona
Bernard Thompson\thompbe01,5,204,Aug 30 1962,Phoenix,Arizona
Alan Williams\willial03,2,18,Jan 28 1993,Phoenix,Arizona
James Anderson\anderja01,5,247,Mar 25 1989,El Dorado,Arkansas
Jim Barnes\barneji01,7,454,Apr 13 1941,Tuckerman,Arkansas
Ron Brewer\brewero01,8,501,Sep 16 1955,Fort Smith,Arkansas
Marcus Brown\brownma01,2,27,Apr 3 1974,West Memphis,Arkansas
Bob Burrow\burrobo01,2,81,Jun 29 1934,Malvern,Arkansas
Michael Cage\cagemi01,15,1140,Jan 28 1962,West Memphis,Arkansas
Cory Carr\carrco01,1,42,Dec 5 1975,Fordyce,Arkansas
Joe Barry Carroll\carrojo01,10,705,Jul 24 1958,Pine Bluff,Arkansas
Archie Clark\clarkar01,10,725,Jul 15 1941,Conway,Arkansas
Nat Clifton*\cliftna01,8,544,Oct 13 1922,Little Rock,Arkansas
Mike Conley\conlemi01,10,654,Oct 11 1987,Fayetteville,Arkansas
John Dickson\dicksjo01,1,21,Nov 18 1945,Searcy,Arkansas
Jeremy Evans\evansje01,6,249,Oct 24 1987,Crossett,Arkansas
Derek Fisher\fishede01,18,1287,Aug 9 1974,Little Rock,Arkansas
Archie Goodwin\goodwar01,4,153,Aug 17 1994,Little Rock,Arkansas
Myron Jackson\jacksmy01,1,8,May 6 1964,Hamburg,Arkansas
Joe Johnson\johnsjo02,16,1167,Jun 29 1981,Little Rock,Arkansas
Lee Johnson\johnsle01,1,12,Jun 16 1957,Plummerville,Arkansas
Caldwell Jones\jonesca01,17,1299,Aug 4 1950,McGehee,Arkansas
Charles Jones\jonesch01,15,726,Apr 3 1957,McGehee,Arkansas
Fred Jones\jonesfr01,7,430,Mar 11 1979,Malvern,Arkansas
Major Jones\jonesma01,6,374,Jul 9 1953,McGhee,Arkansas
Wil Jones\joneswi02,9,725,Feb 27 1947,McGehee,Arkansas
Andrew Lang\langan01,12,737,Jun 28 1966,Pine Bluff,Arkansas
Keith Lee\leeke01,3,182,Dec 28 1962,West Memphis,Arkansas
Fat Lever\leverfa01,11,752,Aug 18 1960,Pine Bluff,Arkansas
Quincy Lewis\lewisqu01,4,159,Jun 26 1977,Little Rock,Arkansas
Brian Martin\martibr01,1,8,Aug 18 1962,Fort Smith,Arkansas
Jeff Martin\martije01,2,143,Jan 14 1967,Cherry Valley,Arkansas
Jim McElroy\mcelrji01,7,418,Oct 4 1953,Cotton Plant,Arkansas
Eddie Miles\milesed01,9,605,Jul 5 1940,North Little Rock,Arkansas
Sidney Moncrief\moncrsi01,11,767,Sep 21 1957,Little Rock,Arkansas
Gaylon Nickerson\nickega01,1,4,Feb 5 1969,Osecola,Arkansas
Dennis Nutt\nuttde01,1,25,Mar 25 1963,Little Rock,Arkansas
Jimmy Oliver\oliveji01,5,78,Jul 12 1969,Menifee,Arkansas
Scottie Pippen*\pippesc01,17,1178,Sep 25 1965,Hamburg,Arkansas
Bobby Portis\portibo01,2,80,Feb 10 1995,Little Rock,Arkansas
Bryant Reeves\reevebr01,6,395,Jun 8 1973,Fort Smith,Arkansas
Glen Rice\ricegl01,15,1000,May 28 1967,Jacksonville,Arkansas
Jackie Ridgle\ridglja01,1,32,Feb 13 1948,Altheimer,Arkansas
Jerry Rook\rookje01,1,28,Oct 27 1943,Jonesboro,Arkansas
Paul Silas\silaspa01,16,1254,Jul 12 1943,Prescott,Arkansas
Jeff Taylor\tayloje01,2,56,Jan 1 1960,Blytheville,Arkansas
Jeff Webster\webstje01,1,11,Feb 19 1971,Pine Bluff,Arkansas
Sonny Weems\weemsso01,4,183,Jul 8 1986,West Memphis,Arkansas
Corliss Williamson\willico02,12,822,Dec 4 1973,Russellville,Arkansas
Jasper Wilson\wilsoja01,2,70,Jul 12 1947,Camden,Arkansas
Alex Acker\ackeral01,2,30,Jan 21 1983,Compton,California
Mark Acres\acresma01,6,375,Nov 15 1962,Inglewood,California
Hassan Adams\adamsha01,2,73,Jun 20 1984,Inglewood,California
Rick Adelman\adelmri01,7,462,Jun 16 1946,Lynwood,California
Arron Afflalo\afflaar01,10,668,Oct 15 1985,Los Angeles,California
Josh Akognon\akognjo01,1,3,Feb 10 1986,Greenbrae,California
Ray Allen\allenra02,18,1300,Jul 20 1975,Merced,California
Darrell Allums\allumda01,1,22,Sep 12 1958,Los Angeles,California
Lou Amundson\amundlo01,10,428,Dec 7 1982,Ventura,California
Chris Andersen\anderch01,15,692,Jul 7 1978,Long Beach,California
Richard Anderson\anderri01,6,407,Nov 19 1960,San Pedro,California
Ryan Anderson\anderry01,9,506,May 6 1988,Sacramento,California
Gilbert Arenas\arenagi01,11,552,Jan 6 1982,Los Angeles,California
Brandon Armstrong\armstbr01,3,108,Jun 16 1980,San Francisco,California
Stacey Augmon\augmost01,15,1001,Aug 1 1968,Pasadena,California
Isaac Austin\austiis01,9,432,Aug 18 1969,Gridley,California
Ken Austin\austike01,1,7,Jul 15 1961,Los Angeles,California
Dennis Awtrey\awtrede01,12,733,Feb 22 1948,Hollywood,California
Jeff Ayres\pendeje02,6,237,Apr 29 1987,Ontario,California
Toby Bailey\baileto01,2,73,Nov 19 1975,Los Angeles,California
Greg Ballard\ballagr01,11,802,Jan 29 1955,Los Angeles,California
Don Barksdale*\barksdo01,4,262,Mar 31 1923,Oakland,California
Matt Barnes\barnema02,14,876,Mar 9 1980,Santa Clara,California
Drew Barry\barrydr01,3,60,Feb 17 1973,Oakland,California
Jon Barry\barryjo01,14,821,Jul 25 1969,Oakland,California
Mike Batiste\batismi01,1,75,Nov 21 1977,Long Beach,California
Jerome Beasley\beaslje01,1,2,May 17 1980,Compton,California
Bob Bedell\bedelbo01,4,269,Jun 26 1944,Los Angeles,California
Corey Benjamin\benjaco01,4,153,Feb 24 1978,Compton,California
John Block\blockjo01,10,597,Apr 16 1944,Los Angeles,California
Corie Blount\blounco01,11,644,Jan 4 1969,Monrovia,California
Etdrick Bohannon\bohanet01,4,26,May 29 1973,San Bernardino,California
Bruce Bowen\bowenbr01,13,873,Jun 14 1971,Merced,California
Freddie Boyd\boydfr01,6,327,Jun 13 1950,Bakersfield,California
Cedric Bozeman\bozemce01,1,23,Mar 7 1983,Los Angeles,California
Craig Brackins\brackcr01,2,17,Oct 9 1987,Los Angeles,California
Torraye Braggs\braggto01,2,22,May 15 1976,Fresno,California
Mike Bratz\bratzmi01,9,586,Oct 17 1955,Lompoc,California
Scott Brooks\brooksc01,10,680,Jul 31 1965,French Camp,California
Anthony Brown\brownan02,2,38,Oct 10 1992,Bellflower,California
Bobby Brown\brownbo02,3,119,Sep 24 1984,Los Angeles,California
Derrick Brown\brownde04,3,171,Sep 8 1987,Oakland,California
Gerald Brown\brownge02,1,33,Jul 28 1975,Los Angeles,California
Jabari Brown\brownja01,1,19,Dec 18 1992,Oakland,California
Lewis Brown\brownle02,1,2,Feb 19 1955,Los Angeles,California
Chase Budinger\budinch01,7,407,May 22 1988,Encinitas,California
Jud Buechler\buechju01,12,720,Jun 19 1968,San Diego,California
Greg Bunch\bunchgr01,1,12,May 15 1956,San Bernardino,California
Greg Butler\butlegr01,3,55,Mar 11 1966,Inglewood,California
Mitchell Butler\butlemi02,8,362,Dec 15 1970,Los Angeles,California
Bill Calhoun\calhobi01,7,442,Nov 4 1927,San Francisco,California
Elden Campbell\campbel01,15,1044,Jul 23 1968,Los Angeles,California
Al Carlson\carlsal01,1,28,Sep 17 1951,Oceanside,California
Bill Cartwright\cartwbi01,15,963,Jul 30 1957,Lodi,California
Tyson Chandler\chandty01,16,1000,Oct 2 1982,Hanford,California
Phil Chenier\cheniph01,10,578,Oct 30 1950,Berkeley,California
Will Cherry\cherrwi01,1,8,Feb 8 1991,Oakland,California
Josh Childress\childjo01,8,391,Jun 20 1983,Harbor City,California
Chris Childs\childch01,9,541,Nov 20 1967,Bakersfield,California
Marquese Chriss\chrisma01,1,22,Jul 2 1997,Sacramento,California
Patrick Christopher\chrispa01,1,4,Jun 3 1988,Compton,California
Jarron Collins\collija03,10,542,Dec 2 1978,Northridge,California
Jason Collins\collija04,13,735,Dec 2 1978,Northridge,California
Darren Collison\collida01,8,508,Aug 23 1987,Rancho Cucamonga,California
Anthony Cook\cookan01,4,116,Mar 19 1967,Los Angeles,California
Darwin Cook\cookda01,8,612,Aug 6 1958,Los Angeles,California
Jeff Cook\cookje01,8,518,Oct 21 1956,West Covina,California
David Cooke\cookeda01,1,6,Sep 27 1963,Sacramento,California
Michael Cooper\coopemi01,12,873,Apr 15 1956,Los Angeles,California
James Cotton\cottoja02,2,19,Dec 14 1975,Los Angeles,California
John Coughran\coughjo01,1,24,Sep 12 1951,Pittsburg,California
Allen Crabbe\crabbal01,4,171,Apr 9 1992,Los Angeles,California
Hal Crisler\crislha01,1,4,Dec 31 1923,Richmond,California
Russell Critchfield\critcru01,1,47,Jun 27 1946,Salinas,California
Winston Crite\critewi01,2,31,Jun 20 1965,Bakersfield,California
Austin Croshere\croshau01,12,659,May 1 1975,Los Angeles,California
Mark Crow\crowma01,1,15,Oct 22 1954,Edwards AFB,California
Jared Cunningham\cunnija01,4,84,May 22 1991,Oakland,California
Howie Dallmar\dallmho01,3,146,May 24 1922,San Francisco,California
Antonio Davis\davisan01,13,903,Oct 31 1968,Oakland,California
Baron Davis\davisba01,13,835,Apr 13 1979,Los Angeles,California
Austin Daye\dayeau01,6,293,Jun 5 1988,Irvine,California
Greg Deane\deanegr01,1,7,Dec 6 1957,Tulare,California
Dewayne Dedmon\dedmode01,4,165,Aug 12 1989,Lancaster,California
Bryce Dejean-Jones\dejeabr01,1,14,Aug 21 1992,Los Angeles,California
Bison Dele\delebi01,8,413,Apr 6 1969,Fresno,California
Dell Demps\dempsde01,3,20,Feb 12 1970,Long Beach,California
DeMar DeRozan\derozde01,8,543,Aug 7 1989,Compton,California
Coby Dietrick\dietrco01,13,842,Jul 23 1948,Riverside,California
Harry Dinnel\dinneha01,1,11,,Torrance,California
Spencer Dinwiddie\dinwisp01,2,46,Apr 6 1993,Los Angeles,California
Larry Drew\drewla02,1,12,Mar 5 1990,Los Angeles,California
Ralph Drollinger\drollra01,1,6,Apr 20 1954,La Mesa,California
Jared Dudley\dudleja01,10,697,Jul 10 1985,San Diego,California
Craig Dykema\dykemcr01,1,32,Jun 11 1959,Lakewood,California
Jim Eakins\eakinji01,10,767,May 24 1946,Sacramento,California
Mark Eaton\eatonma01,11,875,Jan 24 1957,Westminster,California
Tyus Edney\edneyty01,4,226,Feb 14 1973,Gardena,California
Shane Edwards\edwarsh01,1,2,May 31 1987,Los Angeles,California
LeRon Ellis\ellisle02,3,91,Apr 28 1969,Los Angeles,California
Wayne Englestad\englewa01,1,11,Dec 6 1966,Rosemead,California
James Ennis\ennisja01,3,98,Jul 1 1990,Ventura,California
Keith Erickson\erickke01,12,766,Apr 19 1944,San Francisco,California
John Fairchild\faircjo01,4,165,Apr 28 1943,Encinitas,California
Jordan Farmar\farmajo01,10,504,Nov 30 1986,Los Angeles,California
Tony Farmer\farmeto01,2,101,Jan 3 1970,Los Angeles,California
Bob Feerick\feeribo01,4,221,Jan 2 1920,San Francisco,California
Noel Felix\felixno01,1,12,Oct 4 1981,Los Angeles,California
Eric Fernsten\fernser01,6,218,Nov 1 1953,Oakland,California
Landry Fields\fieldla01,5,255,Jun 27 1988,Long Beach,California
Isaac Fontaine\fontais01,1,6,Apr 16 1975,Sacramento,California
Don Ford\forddo01,7,474,Dec 31 1952,Santa Barbara,California
Bayard Forrest\forreba01,2,139,Jul 8 1954,San Jose,California
Greg Foster\fostegr01,13,656,Oct 3 1968,Oakland,California
Tremaine Fowlkes\fowlktr01,4,103,Apr 11 1976,Los Angeles,California
Jamaal Franklin\frankja01,2,24,Jul 21 1991,Moreno Valley,California
Anthony Frederick\fredean01,3,147,Dec 7 1964,Los Angeles,California
Corey Gaines\gaineco01,5,80,Jun 1 1965,Los Angeles,California
Marlon Garnett\garnema01,1,24,Jul 3 1975,Los Angeles,California
Dean Garrett\garrede01,6,359,Nov 27 1966,Los Angeles,California
Paul George\georgpa01,7,388,May 2 1990,Palmdale,California
John Gianelli\gianejo01,8,541,Jun 10 1950,Stockton,California
Jonathan Gibson\gibsojo01,1,11,Nov 8 1987,West Covina,California
Drew Gooden\goodedr01,14,790,Sep 24 1981,Oakland,California
Gail Goodrich*\goodrga01,14,1031,Apr 23 1943,Los Angeles,California
Aaron Gordon\gordoaa01,3,148,Sep 16 1995,San Jose,California
Drew Gordon\gordodr01,1,9,Jul 12 1990,San Jose,California
Ron Grandison\grandro01,4,105,Jul 9 1964,Los Angeles,California
Aaron Gray\grayaa01,7,318,Dec 7 1984,Tarzana,California
Ed Gray\grayed01,2,60,Sep 27 1975,Riverside,California
Evric Gray\grayev01,1,5,Dec 13 1969,Bloomington,California
Erick Green\greener01,2,52,May 9 1991,Inglewood,California
Sean Green\greense01,3,84,Feb 2 1970,Santa Monica,California
Dave Greenwood\greenda01,12,823,May 27 1957,Lynwood,California
John Greig\greigjo01,1,9,Apr 28 1961,Sacramento,California
Dennis Grey\greyde01,2,62,Aug 26 1947,San Diego,California
Bob Gross\grossbo01,8,513,Aug 3 1953,San Pedro,California
Jack Haley\haleyja01,9,341,Jan 27 1964,Long Beach,California
Dennis Hamilton\hamilde01,4,144,May 8 1944,Huntington Beach,California
Jordan Hamilton\hamiljo02,5,151,Oct 6 1990,Los Angeles,California
Justin Hamilton\hamilju01,3,70,Apr 1 1990,Newport Beach,California
Roy Hamilton\hamilro01,2,73,Jul 20 1957,Los Angeles,California
Alex Hannum*\hannual01,8,516,Jul 19 1923,Los Angeles,California
James Harden\hardeja01,8,556,Aug 26 1989,Los Angeles,California
Lucious Harris\harrilu01,12,800,Dec 18 1970,Los Angeles,California
Jason Hart\hartja01,9,341,Apr 29 1978,Los Angeles,California
Scott Haskin\haskisc01,1,27,Sep 19 1970,Riverside,California
Juaquin Hawkins\hawkiju01,1,58,Jul 2 1973,Gardena,California
Chuck Hayes\hayesch01,11,644,Jun 11 1983,San Leandro,California
J.R. Henderson\hendejr01,1,30,Oct 30 1976,Bakersfield,California
Jerome Henderson\hendeje01,2,7,Oct 5 1959,Los Angeles,California
Conner Henry\henryco01,2,93,Jul 21 1963,Claremont,California
Cory Higgins\higgico01,2,44,Jun 14 1989,Danville,California
Sean Higgins\higgise01,6,220,Dec 30 1968,Los Angeles,California
Solomon Hill\hillso01,4,192,Mar 18 1991,Los Angeles,California
Darnell Hillman\hillmda01,9,682,Aug 29 1949,Sacramento,California
Jrue Holiday\holidjr01,8,446,Jun 12 1990,Chatsworth,California
Justin Holiday\holidju01,4,143,Apr 5 1989,Mission Hills,California
Ryan Hollins\holliry01,10,518,Oct 10 1984,Pasadena,California
Tyler Honeycutt\honeyty01,2,24,Jul 15 1990,Los Angeles,California
Eddie House\houseed01,11,717,May 14 1978,Berkeley,California
Jay Humphries\humphja01,11,788,Oct 17 1962,Los Angeles,California
Roy Hurley\hurlero01,1,46,Aug 12 1922,Arcadia,California
Mel Hutchins\hutchme01,7,437,Nov 22 1928,Sacramento,California
Darrall Imhoff\imhofda01,12,801,Oct 11 1938,San Gabriel,California
Ralph Jackson\jacksra01,1,1,Oct 26 1962,Los Angeles,California
Casey Jacobsen\jacobca01,4,287,Mar 19 1981,Glendora,California
Chris Jefferies\jeffech01,2,72,Feb 13 1980,Fresno,California
Richard Jefferson\jefferi01,16,1102,Jun 21 1980,Los Angeles,California
Brandon Jennings\jennibr01,8,482,Sep 23 1989,Compton,California
Chris Jent\jentch01,2,6,Jan 11 1970,Orange,California
Grant Jerrett\jerregr01,1,8,Jul 8 1993,Costa Mesa,California
Eugene Jeter\jetereu01,1,62,Dec 2 1983,Los Angeles,California
Amir Johnson\johnsam01,12,687,May 1 1987,Los Angeles,California
Andy Johnson\johnsan01,4,292,Nov 8 1932,Los Angeles,California
Dennis Johnson*\johnsde01,14,1100,Sep 18 1954,San Pedro,California
Kevin Johnson\johnske02,12,735,Mar 4 1966,Sacramento,California
Orlando Johnson\johnsor01,3,103,Mar 11 1989,Monterey,California
Stanley Johnson\johnsst04,2,93,May 29 1996,Los Angeles,California
Bobby Jones\jonesbo02,2,91,Jan 9 1984,Compton,California
Ozell Jones\jonesoz01,2,70,Nov 20 1960,Long Beach,California
Phil Jordon\jordoph01,7,442,Sep 12 1933,Lakeport,California
Jason Kapono\kaponja01,9,509,Feb 4 1981,Long Beach,California
Adam Keefe\keefead01,9,617,Feb 22 1970,Irvine,California
Rich Kelley\kelleri01,11,814,Mar 23 1953,San Mateo,California
Jason Kidd\kiddja01,19,1391,Mar 23 1973,San Francisco,California
Kyle Korver\korveky01,14,985,Mar 17 1981,Lakewood,California
Joel Kramer\kramejo01,5,328,Nov 30 1955,San Diego,California
Edgar Lacey\lacyed01,1,46,Aug 2 1944,Los Angeles,California
John Lambert\lambejo01,7,446,Jan 14 1953,Berkeley,California
Trajan Langdon\langdtr01,3,119,May 13 1976,Palo Alto,California
Eric Leckner\leckner01,8,449,May 27 1966,Inglewood,California
David Lee\leeda01,2,58,Mar 31 1942,Modesto,California
Greg Lee\leegr01,2,10,Dec 12 1951,Reseda,California
Malcolm Lee\leema01,3,36,May 22 1990,Riverside,California
Rock Lee\leero02,1,2,May 1 1955,LaJolla,California
Kawhi Leonard\leonaka01,6,347,Jun 29 1991,Los Angeles,California
Cliff Levingston\levincl01,11,830,Jan 4 1961,San Diego,California
Todd Lichti\lichtto01,5,237,Jan 8 1967,Walnut Creek,California
Damian Lillard\lillada01,5,345,Jul 15 1990,Oakland,California
Jeremy Lin\linje01,7,374,Aug 23 1988,Palo Alto,California
Rob Lock\lockro01,1,20,May 22 1966,Reedley,California
Don Lofgran\lofgrdo01,4,209,Nov 18 1928,Oakland,California
Brook Lopez\lopezbr01,9,506,Apr 1 1988,North Hollywood,California
Robin Lopez\lopezro01,9,569,Apr 1 1988,North Hollywood,California
Jim Loscutoff\loscuji01,9,511,Feb 4 1930,San Francisco,California
Kevin Love\loveke01,9,536,Sep 7 1988,Santa Monica,California
Stan Love\lovest01,4,239,Apr 9 1949,Los Angeles,California
Mike Lynn\lynnmi01,2,49,Nov 25 1945,Covina,California
Don MacLean\macledo01,9,319,Jan 16 1970,Palo Alto,California
Tito Maddox\maddoti01,1,9,Jun 7 1981,Compton,California
Gerald Madkins\madkige01,3,48,Apr 18 1969,Merced,California
Mark Madsen\madsema01,9,453,Jan 28 1976,Walnut Creek,California
John Mandic\mandijo01,2,81,Oct 3 1919,Los Angeles,California
Dan McClintock\mcclida01,1,6,Apr 19 1977,Fountain Valley,California
Jelani McCoy\mccoyje01,8,260,Dec 6 1977,Oakland,California
Ben McDonald\mcdonbe01,4,176,Jul 20 1962,Torrance,California
Dominic McGuire\mcguido01,6,342,Oct 20 1985,San Diego,California
Carlton McKinney\mckinca01,2,9,Oct 21 1964,San Diego,California
Mark McNamara\mcnamma01,8,278,Jun 8 1959,San Jose,California
Chris McNealy\mcneach01,3,108,Jul 15 1961,Fresno,California
Dave Meyers\meyerda01,4,281,Apr 21 1953,San Diego,California
Vern Mikkelsen*\mikkeve01,10,699,Oct 21 1928,Fresno,California
Andre Miller\millean02,17,1304,Mar 19 1976,Los Angeles,California
Reggie Miller*\millere01,18,1389,Aug 24 1965,Riverside,California
Chris Mills\millsch01,10,568,Jan 25 1970,Los Angeles,California
Harold Miner\minerha01,4,200,May 5 1971,Inglewood,California
Darius Morris\morrida01,4,132,Jan 3 1991,Los Angeles,California
Richard Morton\mortori01,1,2,Feb 2 1966,San Francisco,California
Shabazz Muhammad\muhamsh01,4,176,Nov 13 1992,Los Angeles,California
Chris Munk\munkch01,1,11,Aug 5 1967,San Francisco,California
Tod Murphy\murphto01,5,191,Dec 24 1963,Long Beach,California
Lamond Murray\murrala01,11,736,Apr 20 1973,Pasadena,California
Tracy Murray\murratr01,12,659,Jul 25 1971,Los Angeles,California
DeMarcus Nelson\nelsode01,1,13,Nov 2 1985,Oakland,California
Louie Nelson\nelsolo01,5,224,May 28 1951,Los Angeles,California
Bob Netolicky\netolbo01,9,618,Aug 2 1942,San Francisco,California
Mike Niles\nilesmi01,1,44,Mar 31 1955,Los Angeles,California
James Nunnally\nunnaja01,1,13,Jul 14 1990,San Jose,California
Charles O'Bannon\obannch01,2,48,Feb 22 1975,Bellflower,California
Ed O'Bannon\obanned01,2,128,Aug 14 1972,Los Angeles,California
J.J. O'Brien\obriejj01,1,2,Apr 8 1992,San Diego,California
Kevin O'Shea\osheake01,3,174,Jul 10 1925,San Francisco,California
Bud Ogden\ogdenbu01,2,74,Dec 29 1946,San Luis Obispo,California
Jim Owens\owensji01,2,58,May 1 1950,Los Angeles,California
Keith Owens\owenske01,1,20,May 31 1969,San Francisco,California
Ray Owes\owesra01,1,57,Dec 11 1972,San Bernardino,California
Milt Palacio\palacmi01,7,470,Feb 7 1978,Los Angeles,California
Bud Palmer\palmebu01,3,148,Sep 14 1921,Hollywood,California
